ID;historicalCase_ID;partnerId;partnerName;functionTitle;partnerRole;email;phone
"1d0ce51a-136d-45a1-ab49-f3f643362850";"dc5ee873-e0a7-4920-87de-937445468126";"100014";"Karl Wagner";"Maintenance Technician & Mechanical Specialist";"8D Team Leader";"karl.wagner@proresolve.com";"+49 89 2018 0014"
"a3f91818-e2a0-4b63-9f13-1d3b60c640de";"dc5ee873-e0a7-4920-87de-937445468126";"100012";"Minh Dinh";"CNC Machining Process Engineer";"8D Team Member";"minh.dinh@proresolve.com";"+49 89 2018 0012"
"c1622c42-34f8-4998-b9e7-f812e2ecdf82";"dc5ee873-e0a7-4920-87de-937445468126";"100061";"Anh Pham";"Tooling & Fixture Engineer";"8D Team Member";"anh.pham@proresolve.com";"+49 89 2018 0061"
"ce89e28f-a29b-4540-8ea9-db75bf0d84e5";"b9f0a6cf-d0be-42dc-b45c-530ff91393d9";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"e87d3848-7fca-4a0e-8b7d-d7552c485a99";"b9f0a6cf-d0be-42dc-b45c-530ff91393d9";"100023";"Luis Moreno";"Foundry & Casting Process Engineer";"8D Team Member";"luis.moreno@proresolve.com";"+49 89 2018 0023"
"d424f205-8f84-422c-aaa2-d38f7ae73c2e";"b9f0a6cf-d0be-42dc-b45c-530ff91393d9";"100031";"Sara Klein";"Supplier Quality Engineer";"8D Team Member";"sara.klein@proresolve.com";"+49 89 2018 0031"
"1803419d-d412-4d22-878b-70f997fe81cb";"2d0f3786-dcc3-470e-b1c3-c226901e3cdd";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Leader";"quyen.la@proresolve.com";"+49 89 2018 0011"
"6e8a1d25-52f9-4a6b-b709-bab1b8b7dc45";"2d0f3786-dcc3-470e-b1c3-c226901e3cdd";"100012";"Minh Dinh";"CNC Machining Process Engineer";"8D Team Member";"minh.dinh@proresolve.com";"+49 89 2018 0012"
"2843f5db-b773-47cd-b5a9-254b0c830cb1";"2d0f3786-dcc3-470e-b1c3-c226901e3cdd";"100045";"Ingo Braun";"Manufacturing & Assembly Engineer";"8D Team Member";"ingo.braun@proresolve.com";"+49 89 2018 0045"
"2bb7b878-d35a-4123-b3e8-b30f53b4c0ec";"2d0f3786-dcc3-470e-b1c3-c226901e3cdd";"100052";"Petra Vogel";"Document Control Officer";"8D Team Member";"petra.vogel@proresolve.com";"+49 89 2018 0052"
"3828aca4-630e-4ba1-9548-7e7139e9a466";"a1c2c629-fa67-4ef7-b5d7-8b8fbd558e5f";"100011";"Quyen La";"Quality Technician & Line Inspector";"8D Team Leader";"quyen.la@proresolve.com";"+49 89 2018 0011"
"5e705aeb-0b64-4272-a9fc-a18e877eebd9";"a1c2c629-fa67-4ef7-b5d7-8b8fbd558e5f";"100088";"Rita Fischer";"Assembly Supervisor";"8D Team Member";"rita.fischer@proresolve.com";"+49 89 2018 0088"
"8963c858-fe6a-4882-8e67-a8f20ede3d62";"a1c2c629-fa67-4ef7-b5d7-8b8fbd558e5f";"100091";"Karl Wagner";"Maintenance Planner";"8D Team Member";"";""
"8b8399c9-5f95-48b8-a504-b022d4994987";"f8acea32-e960-4da4-9b25-df28cb762db5";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"e72a62f3-5492-4408-bd68-dfa8a3e20283";"f8acea32-e960-4da4-9b25-df28cb762db5";"100102";"Dario Conti";"Bonding Process Engineer";"8D Team Member";"dario.conti@proresolve.com";"+49 89 2018 0102"
"23c7c650-881c-4e31-a9f1-c4dc1e791d7e";"f8acea32-e960-4da4-9b25-df28cb762db5";"100115";"Eva Lindqvist";"Facilities Engineer";"8D Team Member";"eva.lindqvist@proresolve.com";"+49 89 2018 0115"
"11962997-a628-498f-99ab-9f0fcb010a34";"f8acea32-e960-4da4-9b25-df28cb762db5";"100012";"Minh Dinh";"CNC Machining Process Engineer";"8D Team Member";"minh.dinh@proresolve.com";"+49 89 2018 0012"
"ca9ca5f9-cf58-4709-96e9-e5c44f27e658";"7b26770d-e78f-4a25-a105-eff09ed7e04f";"100012";"Minh Dinh";"CNC Machining Process Engineer";"8D Team Leader";"minh.dinh@proresolve.com";"+49 89 2018 0012"
"3340e5f9-5522-4f29-9fca-487c3ac92718";"7b26770d-e78f-4a25-a105-eff09ed7e04f";"100091";"Karl Wagner";"Maintenance Planner";"8D Team Member";"";""
"d1d4c6db-1cec-4794-add3-5340c46cc8f1";"1cf66391-6533-485d-8150-da0b6c8f88b0";"100001";"Heli Weber";"Quality Engineer & 8D Facilitator";"8D Team Leader";"heli.weber@proresolve.com";"+49 89 2018 0001"
"2b65736c-cba3-419c-a804-e1532400bdae";"1cf66391-6533-485d-8150-da0b6c8f88b0";"100045";"Ingo Braun";"Manufacturing & Assembly Engineer";"8D Team Member";"ingo.braun@proresolve.com";"+49 89 2018 0045"
"a39af4cb-55de-42da-bdae-9e92b0275f0d";"1cf66391-6533-485d-8150-da0b6c8f88b0";"100052";"Petra Vogel";"Document Control Officer";"8D Team Member";"petra.vogel@proresolve.com";"+49 89 2018 0052"
"9772dd50-7ef3-4436-a734-0364cfcca560";"c9f77b1a-0936-4c72-90b6-5b20558bbf11";"100031";"Sara Klein";"Supplier Quality Engineer";"8D Team Leader";"sara.klein@proresolve.com";"+49 89 2018 0031"
"16b2e69f-b102-4bf2-91d2-bbf741684622";"c9f77b1a-0936-4c72-90b6-5b20558bbf11";"100014";"Karl Wagner";"Maintenance Technician & Mechanical Specialist";"8D Team Member";"karl.wagner@proresolve.com";"+49 89 2018 0014"
"f5f293f8-c811-4f8d-b40f-88dd39ac8855";"c9f77b1a-0936-4c72-90b6-5b20558bbf11";"100133";"Ola Nyberg";"Press Shop Engineer";"8D Team Member";"ola.nyberg@proresolve.com";"+49 89 2018 0133"
"27766785-53fd-474e-9e34-82a4fba4a3ee";"efd31c57-57fc-4f68-95fa-850fef542ee1";"100014";"Karl Wagner";"Maintenance Technician & Mechanical Specialist";"8D Team Leader";"karl.wagner@proresolve.com";"+49 89 2018 0014"
"b3a32046-b713-47f6-ab9e-70b22e0f2b16";"efd31c57-57fc-4f68-95fa-850fef542ee1";"100147";"Lena Hoffmann";"Metrology Specialist & CMM Inspector";"8D Team Member";"lena.hoffmann@proresolve.com";"+49 89 2018 0147"
"8daaa4d4-c602-4ff4-9740-66ebf76e12f3";"efd31c57-57fc-4f68-95fa-850fef542ee1";"100045";"Ingo Braun";"Manufacturing & Assembly Engineer";"8D Team Member";"ingo.braun@proresolve.com";"+49 89 2018 0045"
"1f7f24e4-e39d-452f-b388-dd1d3dfe8692";"27a84005-0918-487b-a26f-c214b6a30983";"100088";"Rita Fischer";"Assembly Supervisor";"8D Team Leader";"rita.fischer@proresolve.com";"+49 89 2018 0088"
"d5b2074f-df6d-4a1e-bcca-8057a12a97bf";"27a84005-0918-487b-a26f-c214b6a30983";"100012";"Minh Dinh";"CNC Machining Process Engineer";"8D Team Member";"minh.dinh@proresolve.com";"+49 89 2018 0012"
"eaefb8b4-614a-4600-a4a5-8617839e9121";"27a84005-0918-487b-a26f-c214b6a30983";"100091";"Karl Wagner";"Maintenance Planner";"8D Team Member";"";""
